record_id,age,region,income,education,gender,saab,hormone,top_sex,bottom_sex,sex_orient,sex_attrac,sex_last_year,ethnic,isos_1,isos_2,isos_3,isos_4,isos_5,isos_6,isos_7,isos_8,isos_9,isos_10,isos_11,isos_12,isos_13,isos_14,isos_15,gims_1,gims_2,gims_3,gims_4,gims_5,gims_6,gims_7,gims_8,gims_9,gims_10,gims_11,gims_12,gims_13,gims_14,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14,tis_1,tis_2,tis_3,tis_4,tis_5,tis_6,tis_7,tis_8,tis_9,tis_10,tis_11,tis_12,tis_13,tis_14,tis_15,tis_16,tis_17,tis_18,tis_19,tis_20,tis_21,tis_22,tis_23,tis_24,tis_25,tis_26,pfq2s_1,pfq2s_10,pfq2s_9,pfq2s_8,pfq2s_7,pfq2s_6,pfq2s_5,pfq2s_4,pfq2s_3,pfq2s_2,mhi_1,mhi_5,mhi_4,mhi_3,mhi_2,open_comment
185,33,East Coast,"$45,000 - $139,999",bachelors degree,trans_masc,female,currently taking,would like to in the future,do not plan to in the future,queer,specific genders,specific genders,White / European American,2,3,3,3,3,2,3,3,2,3,2,3,3,3,3,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,3,1,3,3,4,4,4,1,1,3,4,2,4,2,6,5,3,1,6,3,2,1,1,2,4,1,2,6,2,5,1,6,5,1,6,1,5,6,6,4,2,4,3,3,4,3,4,4,3,6,4,2,2,3,"The questions didn't seem to cover the viewpoint that passing is hugely important for SAFETY but not personal ID. I'm nonbinary, but place a huge amount of importance on passing as cis / binary, because of safety issues. Even though I'd prefer to be completely out and accepted. Even though it is more important to me that I am true to myself than to appease other people... I also want to stay alive."
186,31,East Coast,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,cisgender m&w,cisgender m&w,White / European American,1,1,3,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,2,4,1,2,1,4,4,4,2,2,1,4,1,4,2,1,7,5,6,2,1,5,7,7,7,2,5,5,6,4,7,7,2,5,5,6,7,5,1,2,5,3,3,3,5,3,3,3,5,4,5,5,2,2,3,NA
189,20,Southwest,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,all genders,cisgender m&w,White / European American,5,4,5,5,4,5,4,5,5,5,5,2,5,5,5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2,5,5,4,5,2,1,5,3,5,1,2,7,4,1,7,1,7,7,7,7,1,7,3,NA,7,7,5,7,5,6,7,7,4,2,6,4,3,3,2,4,4,5,5,5,3,5,3,1,2,3,Sure
190,26,West Coast,"$20,000 - $44,999",associate degree,non_binary,female,currently taking,unsure about the future,do not plan to in the future,bi/pansexual,all genders,cisgender men,White / European American,3,3,4,4,3,3,3,2,2,2,2,2,3,2,2,1,1,0,0,1,1,0,1,1,0,1,1,1,1,2,4,2,4,3,5,4,3,2,4,2,3,1,1,4,6,6,5,6,3,6,1,5,1,4,3,4,3,3,2,6,4,6,3,2,6,3,3,5,3,3,3,3,3,2,3,3,2,4,1,2,3,4,5,6,Nope :)
191,21,West Coast,"$20,000 - $44,999",high school diploma / GED,trans_fem,male,currently taking,do not plan to in the future,would like to in the future,bi/pansexual,all genders,all genders,White / European American,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,4,1,4,2,5,5,5,1,2,3,4,2,5,5,7,2,5,2,7,2,4,1,2,1,5,1,4,5,7,4,5,7,2,1,1,5,2,7,7,3,3,3,2,4,4,3,2,3,2,3,4,2,3,4,NA
192,22,Southwest,"less than $20,000",high school diploma / GED,trans_man,female,took in the past but not currently,would like to in the future,unsure about the future,bi/pansexual,cisgender women,all genders,White / European American,1,2,5,4,4,2,1,3,2,1,1,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,4,4,5,2,5,4,4,3,2,3,4,3,4,5,2,5,2,5,3,4,5,7,7,6,7,5,4,4,7,7,5,5,7,6,6,6,7,3,4,3,3,4,5,4,4,3,2,4,4,3,4,3,3,3,NA
194,20,Midwest,"less than $20,000",tradeperson certificate,trans_man,female,currently taking,would like to in the future,unsure about the future,other,cisgender women,cisgender women,East Asian / Asian American,2,1,2,3,1,1,1,2,1,1,4,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,4,4,4,5,2,4,4,4,4,3,4,4,1,3,1,2,7,5,6,1,1,NA,7,7,7,5,5,5,3,7,7,7,1,7,5,7,7,7,1,1,3,2,4,1,3,1,1,4,3,1,2,2,6,4,5,NA
195,20,East Coast,"less than $20,000",some college,trans_man,female,took in the past but not currently,would like to in the future,unsure about the future,bi/pansexual,cisgender m&w,cisgender m&w,East Asian / Asian American,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3,4,2,5,2,4,4,4,2,4,2,2,3,5,3,2,7,6,7,6,1,5,5,6,7,5,3,6,3,5,5,6,2,4,3,7,7,3,1,5,3,3,4,5,3,2,3,3,5,2,3,4,2,3,5,NA
196,19,Midwest,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,would like to in the future,heterosexual,cisgender women,cisgender women,Other,1,1,4,2,1,3,1,1,3,1,3,3,3,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,4,2,2,2,2,2,3,1,4,1,4,2,5,2,1,7,7,6,2,1,7,6,7,7,2,5,7,7,7,7,7,1,5,4,6,7,5,2,3,4,5,5,5,4,2,4,5,3,3,5,5,2,2,3,NA
197,31,East Coast,"$45,000 - $139,999",graduate school,trans_man,female,currently taking,have had,have had,bi/pansexual,all genders,all genders,White / European American,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,5,1,1,3,5,5,5,1,3,4,1,1,3,5,1,3,3,6,5,3,1,1,2,2,2,1,1,1,1,1,2,1,2,2,5,4,5,"Being trans is not an ""identity"" for me. It's just a medical condition and a useful adjective to describe the connection between the sex I was assigned at birth. I don't feel shame around being trans, but nor do I feel the need to be connected to a trans community."
