record_id,age,region,income,education,gender,saab,hormone,top_sex,bottom_sex,sex_orient,sex_attrac,sex_last_year,ethnic,isos_1,isos_2,isos_3,isos_4,isos_5,isos_6,isos_7,isos_8,isos_9,isos_10,isos_11,isos_12,isos_13,isos_14,isos_15,gims_1,gims_2,gims_3,gims_4,gims_5,gims_6,gims_7,gims_8,gims_9,gims_10,gims_11,gims_12,gims_13,gims_14,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14,tis_1,tis_2,tis_3,tis_4,tis_5,tis_6,tis_7,tis_8,tis_9,tis_10,tis_11,tis_12,tis_13,tis_14,tis_15,tis_16,tis_17,tis_18,tis_19,tis_20,tis_21,tis_22,tis_23,tis_24,tis_25,tis_26,pfq2s_1,pfq2s_10,pfq2s_9,pfq2s_8,pfq2s_7,pfq2s_6,pfq2s_5,pfq2s_4,pfq2s_3,pfq2s_2,mhi_1,mhi_5,mhi_4,mhi_3,mhi_2,open_comment
744,22,East Coast,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,unsure about the future,gay,specific genders,cisgender m&w,White / European American,1,2,4,4,1,4,1,2,3,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,3,4,2,4,4,4,3,1,2,2,1,1,4,2,5,5,1,2,5,5,5,5,5,4,1,3,1,1,4,1,5,4,1,2,1,4,3,1,2,1,1,1,3,1,1,2,3,1,3,3,4,4,6,NA
749,22,Southeast,"$20,000 - $44,999",some college,trans_man,female,plan to take in the future,would like to in the future,unsure about the future,bi/pansexual,all genders,all genders,White / European American,2,3,4,3,3,4,2,3,3,2,3,4,3,2,2,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,4,2,4,2,5,4,4,4,2,2,4,2,4,2,5,6,1,5,1,3,2,5,5,4,3,3,4,6,6,5,4,4,6,3,5,6,2,1,4,3,4,2,2,4,2,3,4,5,2,5,4,3,3,4,NA
754,21,East Coast,"less than $20,000",high school or less,trans_man,female,plan to take in the future,would like to in the future,do not plan to in the future,bi/pansexual,cisgender m&w,specific genders,White / European American,1,1,3,2,1,1,2,1,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,4,2,4,2,4,4,4,2,4,2,4,2,4,5,6,6,2,6,6,2,4,2,2,2,6,3,4,2,4,5,6,5,2,2,6,2,2,6,6,4,2,5,1,1,2,2,4,4,3,4,2,5,3,4,NA
772,20,East Coast,"less than $20,000",some college,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,Multiethnic,2,3,3,3,2,2,2,3,2,2,2,2,3,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,4,5,4,4,2,5,5,5,3,2,2,4,1,5,6,5,6,2,5,5,7,5,6,5,6,5,6,3,1,6,6,3,6,6,3,5,7,5,2,5,4,4,5,4,5,2,4,2,5,2,5,4,2,2,3,NA
784,21,East Coast,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,unsure about the future,gay,cisgender men,cisgender men,White / European American,1,1,3,1,1,1,1,1,1,1,2,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,4,3,4,2,4,5,4,2,3,3,5,2,3,5,6,5,5,5,7,5,2,5,2,4,3,5,2,5,5,2,5,4,2,2,2,2,1,6,6,2,2,3,1,3,1,1,2,3,2,5,4,4,4,5,"A lot of the feeling shitty over the past month (really past 5, since my school went online in March) is due to living with my family (especially my mom and sister). I'm moving back to college at the end of the week and I feel like I'll feel better when I get away from them."
785,22,West Coast,"less than $20,000",bachelors degree,trans_man,female,plan to take in the future,would like to in the future,unsure about the future,heterosexual,cisgender women,specific genders,White / European American,2,3,3,2,3,3,3,2,2,1,2,2,1,2,3,1,1,1,0,1,1,0,0,1,0,0,0,1,0,2,3,3,4,3,2,3,1,2,3,2,3,1,3,3,4,5,2,3,3,3,5,3,6,5,3,2,3,3,6,4,3,5,6,3,3,5,5,5,5,2,2,3,2,2,2,2,3,2,2,4,5,5,4,5,NA
788,24,Southwest,"$20,000 - $44,999",some college,trans_woman,male,plan to take in the future,do not plan to in the future,unsure about the future,queer,cisgender m&w,no sex attrac,White / European American,1,1,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,4,4,5,4,4,5,5,5,3,5,3,5,3,5,2,5,4,5,6,2,3,5,4,3,6,2,4,5,7,6,5,7,4,5,4,7,6,6,2,4,5,5,5,5,3,1,5,5,5,5,3,3,2,4,5,NA
795,18,East Coast,"less than $20,000",high school or less,trans_man,female,plan to take in the future,would like to in the future,unsure about the future,bi/pansexual,all genders,all genders,White / European American,1,2,5,4,3,3,1,3,3,1,3,3,3,3,4,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,4,2,3,2,3,5,5,1,1,1,3,1,4,5,7,5,1,1,5,4,2,5,2,2,3,6,2,4,7,5,5,4,3,1,3,7,2,3,7,5,4,5,5,4,2,5,5,5,5,5,5,1,1,2,i would love to see the results of the overall survey results
798,25,East Coast,"$20,000 - $44,999",graduate school,trans_man,female,currently taking,have had,would like to in the future,bi/pansexual,all genders,cisgender men,White / European American,1,1,3,2,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,4,3,4,4,3,2,2,2,3,2,4,1,1,6,4,3,1,1,6,7,6,7,2,6,5,2,5,6,5,1,6,6,2,7,2,1,1,3,2,3,2,4,2,2,2,3,3,5,5,2,1,2,NA
802,31,East Coast,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,do not plan to in the future,heterosexual,cisgender women,cisgender women,Multiethnic,3,1,3,3,2,3,2,3,3,2,2,3,1,1,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,2,4,3,4,1,4,4,4,2,3,2,4,3,4,3,5,3,4,5,2,4,5,7,5,2,3,5,4,5,6,4,2,5,4,2,5,4,6,6,6,3,2,3,2,3,2,4,2,4,3,6,6,1,1,1,NA
804,24,Midwest,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,unsure about the future,queer,cisgender men,no sex attrac,White / European American,1,3,5,4,3,4,1,3,4,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,5,3,5,2,5,5,5,1,1,2,4,1,5,4,6,5,2,2,6,6,3,6,2,4,4,3,2,1,2,3,4,7,4,2,2,2,4,6,7,3,2,4,2,2,1,2,3,5,2,4,4,3,3,5,NA
813,18,East Coast,"less than $20,000",high school diploma / GED,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,queer,cisgender m&w,specific genders,White / European American,1,3,4,4,1,2,1,3,2,1,2,2,1,2,2,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,5,3,5,1,5,5,5,1,1,1,4,1,3,4,5,6,4,4,7,5,3,6,6,6,6,6,3,7,4,4,4,6,7,7,3,7,1,6,6,5,4,4,2,2,4,3,4,5,5,3,3,1,4,6,ONE DAY I will grow a beard
815,19,Southwest,"less than $20,000",some college,trans_man,female,plan to take in the future,would like to in the future,unsure about the future,bi/pansexual,all genders,all genders,Other,1,2,3,4,2,1,2,2,1,1,1,2,1,2,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,5,4,5,5,5,5,5,4,5,5,5,3,5,6,6,5,5,6,7,2,4,3,4,4,5,4,3,7,6,4,7,6,6,5,5,4,2,6,3,5,5,4,4,3,3,4,4,5,NA,3,3,3,4,4,NA
817,25,Midwest,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,do not plan to in the future,gay,no sex attrac,no sex attrac,White / European American,2,3,4,3,2,3,2,3,2,2,2,3,2,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,4,2,4,1,5,4,4,1,1,1,4,1,5,5,7,5,2,6,5,6,2,3,3,2,1,2,2,1,1,2,1,7,1,2,6,2,1,5,2,4,3,3,1,4,2,2,3,5,2,2,3,3,5,6,NA
818,18,Southeast,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,do not plan to in the future,asexual,no sex attrac,no sex attrac,White / European American,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,4,2,2,4,4,2,1,1,4,1,2,2,5,3,3,2,2,5,2,6,2,5,2,5,2,5,5,6,3,5,5,2,2,5,4,3,7,2,1,2,3,4,3,3,1,4,2,4,5,4,3,4,NA
822,26,Midwest,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,have had,would like to in the future,bi/pansexual,all genders,all genders,White / European American,2,4,5,5,4,3,1,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,5,3,4,2,5,5,5,2,2,4,5,2,5,2,3,7,5,5,3,1,6,6,6,6,1,6,7,7,7,7,7,2,6,6,4,6,1,2,7,4,4,5,4,3,3,5,3,5,5,4,5,2,2,2,NA
826,25,East Coast,"$20,000 - $44,999",associate degree,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,cisgender m&w,cisgender men,Multiethnic,1,2,4,3,1,1,1,1,1,1,1,2,2,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,5,3,5,2,4,5,5,2,3,4,5,2,5,6,2,6,1,5,1,2,6,6,6,7,4,5,5,2,2,6,7,3,5,6,4,7,4,2,3,4,4,2,4,3,1,4,2,4,2,5,5,3,2,4,NA
827,18,Midwest,"more than $140,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,all genders,all genders,White / European American,1,1,3,2,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4,5,4,5,2,5,5,5,2,1,4,5,1,5,5,1,7,6,3,3,1,7,7,7,7,5,7,6,1,7,7,7,3,7,7,5,7,5,2,1,3,3,2,4,3,1,3,3,5,2,4,3,4,2,5,NA
